S,Q,I,Q,R,D
7668603.612901247,2891.4528470761456,131.81445399200638,11488.98678987606,35814.29973641999,3315.8332713842015
7668603.247994885,2850.1915481658216,129.64901068841277,10860.252503920176,36486.82567095253,3315.8332713842015
7668602.888295786,2809.5190517810875,127.59543744344458,10267.566394689486,37122.5975489112,3315.8332713842015
7668602.533729644,2769.426955656296,125.62908905649469,9708.854495062053,37723.722459192824,3315.8332713842015
7668602.184223209,2729.906977426881,123.73223313834748,9182.157191975397,38292.18610286187,3315.8332713842015
7668601.839704278,2690.950952918361,121.8920837616624,8685.624452232596,38829.85953542004,3315.8332713842015
7668601.50010168,2652.5508344597542,120.09939483578856,8217.51078491302,39338.505612722176,3315.8332713842015
7668601.165345256,2614.6986892210657,118.34745387388892,7776.170110148022,39819.78513011071,3315.8332713842015
7668600.835365852,2577.3866975744945,116.63136217613949,7360.050650160177,40275.26265284646,3315.8332713842015
7668600.510095299,2540.6071514790297,114.94751989748147,6967.689920258785,40706.41204167512,3315.8332713842015
7668600.1894664,2504.352452888097,113.29325767733756,6597.709870458962,41114.621681184835,3315.8332713842015
7668599.873412918,2468.6151121799294,111.66657311093148,6248.812209346059,41501.19942105403,3315.8332713842015
7668599.561869562,2433.3877466103336,110.06594221805337,5919.773928453273,41867.37724176589,3315.8332713842015
7668599.254771969,2398.6630787875397,108.49018456061123,5609.443036122015,42214.315657169136,3315.8332713842015
7668598.952056701,2364.4339351688127,106.93836673745992,5316.734503402615,42543.10786659914,3315.8332713842015
7668598.6536612185,2330.6932445785174,105.40973333221558,5040.6264201916265,42854.78366928786,3315.8332713842015
7668598.359523878,2297.4340367473305,103.90365749949217,4780.156356894506,43150.31315358864,3315.8332713842015
7668598.069583916,2264.6494408722997,102.41960559950337,4534.417925022376,43430.61017319749,3315.8332713842015
7668597.783781435,2232.332684197448,100.95711188224674,4302.557528974988,43696.53562211793,3315.8332713842015
7668579.070715127,2250.7677922658886,76.53643717296636,3573.379951346733,44386.693415646194,3379.551688433973
7668442.079880843,2387.7586265497557,75.90214389782777,2170.0127251616404,45408.03505515547,3762.2115683849256
7668296.901111582,2532.9373958108526,75.27310730791974,1317.968905414,46028.31000279616,3994.609477081781
7668143.044153398,2686.794353995596,74.64928383863155,800.6554489437613,46405.07996251609,4135.776797301382
7667979.989449991,2849.849057402811,74.03063028639278,486.5701003175611,46634.00692669173,4221.55383530418
7667807.186396384,3022.6521110100916,73.41710380568124,295.87262265390274,46773.17109839583,4273.700667744445
7667624.051489155,3205.787018238969,72.80866190605565,180.0888428445022,46857.83528335275,4305.428704496551
7667429.966367186,3399.872140207162,72.20526244921287,109.7881690113505,46909.40894036758,4324.759120771718
7667224.275736533,3605.562770860058,71.60686364606961,67.10212227629256,46940.89061212513,4336.561894552374
7667006.285172657,3823.553334735775,71.0134240538683,41.18204077555693,46960.172240708474,4343.793787061963
7666775.258792893,4054.5797144995295,70.42490257330685,25.44127173797056,46972.04534851409,4348.249969774492
7666530.416791609,4299.421715784369,69.84125844569236,15.880797005878517,46979.41907018956,4351.0203669587345
7666270.932830095,4558.905677297485,69.26245125011826,10.072653937557881,46984.05966809134,4352.766719320855
7665995.931272797,4833.907234595208,68.68844090066497,6.54272995317575,46987.0395214247,4353.89080032133
7665704.484260996,5125.354246396134,68.1191876436237,4.39603264577954,46989.00972534334,4354.636546967124
7665395.6086146,5434.229892791686,67.55465205474323,3.089176416179227,46990.36559666586,4355.15206746308
7665068.2625521645,5761.57595522742,66.99479503649957,2.2922500928634215,46991.34715895582,4355.52728851468
7664721.342218724,6108.496288667535,66.4395778153882,1.8049512894844428,46992.10015099708,4355.816812497906
7664353.678010472,6476.16049692007,65.8889619392388,1.5056682492066582,46992.713067458084,4356.053794953326
7663964.0306847,6865.807822691953,65.34290927455214,1.3205654146451027,46993.23964774768,4356.258370162976
7663551.087242831,7278.751264562117,64.8013820038592,1.2048140532117204,46993.71252989078,4356.442766652007
7663113.456573685,7716.3819337080195,64.26434262310197,1.1311966271937814,46994.15154033715,4356.614413012414
7662649.664843496,8180.17366389661,63.73175393903617,1.0831880562310452,46994.568727032885,4356.7778235717105
7662158.150618437,8671.687888955737,63.2035790666553,1.0507550784389657,46994.971415197615,4356.935743257156
7661637.259704716,9192.57880267653,62.67978142663621,1.0278058763363664,46995.36406260848,4357.089842688409
7661085.239690531,9744.598816861582,62.1603247428057,1.0106416427091844,46995.74938601798,4357.241140196361
7660500.234173365,10329.60433402764,61.64517303962819,0.9970164636278139,46996.12904504849,4357.390258048119
7659880.276655298,10949.561852095136,61.134290639714216,0.9855665355775393,46996.5040574128,4357.537578011773
7659223.284088143,11606.554419250075,60.62764216134953,0.9754636205071745,46996.87505101179,4357.683335806218
7658527.050049348,12302.78845804553,60.1251925160447,0.9662046447805865,46997.242416993424,4357.827678445621
7657789.237528673,13040.60097871963,59.62690690610504,0.9574839564894381,46997.60640268152,4357.970699055748
7657007.37130475,13822.467202642896,59.13275082222065,0.9491157678943956,46997.96716799717,4358.112458012577
7656178.829889624,14651.008617768517,58.64269004107642,0.9409870672110117,46998.324819714944,4358.252995776631
7655300.837018451,15529.001488942438,58.156690622981884,0.9330290295170627,46998.679432261895,4358.392340685467
7654370.45266046,16459.385846932917,57.67471890952066,0.9251996591933398,46999.03106034609,4358.530513685058
7653384.563526334,17445.274981058526,57.19674152121941,0.917473251463346,46999.37974662453,4358.667531202652
7652339.873046068,18489.9654613248,56.722725355236136,0.9098339940719565,46999.7255263593,4358.8034068912575
7651232.890790374,19596.94771701812,56.252637583067575,0.9022720826027544,47000.06843024515,4358.938152689046
7650059.921307647,20769.91719974511,55.78644564827563,0.8947813619227699,47000.408486126864,4359.0717794628
7648817.052347452,22012.78615993944,55.32411726423265,0.8873578941983247,47000.74572004259,4359.204297398834
7647500.142440515,23329.696066877827,54.86562041188536,0.8799990894681494,47001.080156857926,4359.335716240581
7646104.80780415,24725.030703243017,54.41092333753739,0.8727031777669022,47001.41182065147,4359.466045433091
7644626.40854116,26203.429966233012,53.9599945506501,0.8654688886172587,47001.7407349496,4359.595294211002
7643060.034099263,27769.804408129683,53.51280282166169,0.858295256423598,47002.066922869584,4359.723471652195
7641400.487957302,29429.350550091523,53.069317179824345,0.8511815023055296,47002.39040720712,4359.850586710615
7639642.271503685,31187.56700370768,52.62950691105933,0.8441269623411161,47002.71121049004,4359.976648236426
7637779.567071868,33050.27143552446,52.19334155582987,0.8371310439873276,47003.02935501155,4360.101664988492
7635806.220097084,35023.61841030891,51.760790907031605,0.8301931996080939,47003.34486285103,4360.225645642189
7633715.720358171,37114.118149222275,51.33182500790061,0.8233129103891487,47003.65775588719,4360.348598794377
7631501.182268082,39328.65623931057,50.906414149938676,0.816489676559205,47003.968055806705,4360.470532966651
